Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,AWARD_TYPE,SEASON,DWS,DBPM,DRtg,VOTE_POINTS
5,Gary Neal,26,SAS,0,19,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,ROTY,2010-11,,,,19
6,Greg Monroe,20,DET,0,15,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0.0,0.622,6.6,0.143,ROTY,2010-11,,,,15
1,James Harden,22,OKC,115,584,595,0.982,62,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,6MOY,2011-12,,,,584
10,Kyle Korver,30,CHI,0,4,595,0.007,65,22.6,8.1,2.4,1.7,0.6,0.2,0.432,0.435,0.833,5.3,0.172,6MOY,2011-12,,,,4
11T,C.J. Watson,27,CHI,0,3,595,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,0.368,0.393,0.808,2.6,0.109,6MOY,2011-12,,,,3
11T,Carl Landry,28,NOH,0,3,595,0.005,41,24.4,12.5,5.2,0.9,0.3,0.3,0.503,0.0,0.799,2.9,0.139,6MOY,2011-12,,,,3
11T,Jamal Crawford,31,POR,0,3,595,0.005,60,26.9,14.0,2.0,3.2,0.9,0.2,0.384,0.308,0.927,2.3,0.069,6MOY,2011-12,,,,3
11T,Zach Randolph,30,MEM,0,3,595,0.005,28,26.3,11.6,8.0,1.7,0.8,0.1,0.463,0.25,0.659,2.1,0.135,6MOY,2011-12,,,,3
15T,Gary Neal,27,SAS,0,2,595,0.003,56,21.5,9.9,2.1,2.1,0.5,0.0,0.436,0.419,0.781,2.5,0.101,6MOY,2011-12,,,,2
15T,Mike Dunleavy,31,MIL,0,2,595,0.003,55,26.3,12.3,3.7,2.1,0.5,0.1,0.474,0.399,0.811,4.4,0.146,6MOY,2011-12,,,,2
15T,Tyler Hansbrough,26,IND,0,2,595,0.003,66,21.8,9.3,4.4,0.5,0.8,0.1,0.405,0.0,0.813,3.9,0.129,6MOY,2011-12,,,,2
18T,Andre Miller,35,DEN,0,1,595,0.002,66,27.4,9.7,3.3,6.7,1.0,0.1,0.438,0.217,0.811,2.9,0.078,6MOY,2011-12,,,,1
18T,George Hill,25,IND,0,1,595,0.002,50,25.5,9.6,3.0,2.9,0.8,0.3,0.442,0.367,0.778,4.0,0.152,6MOY,2011-12,,,,1
18T,J.R. Smith,26,NYK,0,1,595,0.002,35,27.6,12.5,3.9,2.4,1.5,0.2,0.407,0.347,0.709,2.5,0.122,6MOY,2011-12,,,,1
2,Lou Williams,25,PHI,3,231,595,0.388,64,26.3,14.9,2.4,3.5,0.8,0.3,0.407,0.362,0.812,6.1,0.174,6MOY,2011-12,,,,231
3,Jason Terry,34,DAL,0,81,595,0.136,63,31.7,15.1,2.4,3.6,1.2,0.2,0.43,0.378,0.883,3.8,0.092,6MOY,2011-12,,,,81
4,Al Harrington,31,DEN,0,42,595,0.071,64,27.5,14.2,6.1,1.4,0.9,0.2,0.446,0.333,0.676,3.2,0.088,6MOY,2011-12,,,,42
5T,Manu Ginóbili,34,SAS,0,28,595,0.047,34,23.3,12.9,3.4,4.4,0.7,0.4,0.526,0.413,0.871,4.2,0.257,6MOY,2011-12,,,,28
5T,Taj Gibson,26,CHI,1,28,595,0.047,63,20.4,7.7,5.3,0.7,0.4,1.3,0.495,,0.622,4.5,0.167,6MOY,2011-12,,,,28
7,O.J. Mayo,24,MEM,0,18,595,0.03,66,26.8,12.6,3.2,2.6,1.1,0.3,0.408,0.364,0.773,3.5,0.094,6MOY,2011-12,,,,18
8,Mo Williams,29,LAC,0,14,595,0.024,52,28.3,13.2,1.9,3.1,1.0,0.1,0.426,0.389,0.9,2.8,0.093,6MOY,2011-12,,,,14
9,Thaddeus Young,23,PHI,0,10,595,0.017,63,27.9,12.8,5.2,1.2,1.0,0.7,0.507,0.25,0.771,6.3,0.171,6MOY,2011-12,,,,10
1,Tyson Chandler,29,NYK,45,311,605,0.514,62,33.2,11.3,9.9,0.9,0.9,1.4,0.679,0.0,0.689,9.5,0.22,DPOY,2011-12,3.6,1.1,99.0,311
10,Josh Smith,26,ATL,0,9,605,0.015,66,35.3,18.8,9.6,3.9,1.4,1.7,0.458,0.257,0.63,6.8,0.139,DPOY,2011-12,4.9,2.1,96.0,9
11,Joakim Noah,26,CHI,0,6,605,0.01,64,30.4,10.2,9.8,2.5,0.6,1.4,0.508,0.0,0.748,9.0,0.223,DPOY,2011-12,4.2,2.1,96.0,6
12T,Chris Paul,26,LAC,0,5,605,0.008,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,DPOY,2011-12,2.3,2.4,104.0,5
12T,Marc Gasol,27,MEM,0,5,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,0.482,0.083,0.748,8.2,0.166,DPOY,2011-12,4.0,2.1,99.0,5
14T,Avery Bradley,21,BOS,0,2,605,0.003,64,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,2.4,0.085,DPOY,2011-12,1.9,0.7,102.0,2
14T,Grant Hill,39,PHO,0,2,605,0.003,49,28.1,10.2,3.5,2.2,0.8,0.6,0.446,0.264,0.761,1.6,0.055,DPOY,2011-12,0.9,0.5,107.0,2
14T,Iman Shumpert,21,NYK,0,2,605,0.003,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,DPOY,2011-12,2.5,1.6,101.0,2
14T,Mike Conley,24,MEM,0,2,605,0.003,62,35.1,12.7,2.5,6.5,2.2,0.2,0.433,0.377,0.861,6.4,0.141,DPOY,2011-12,2.8,1.4,102.0,2
18T,Dwyane Wade,30,MIA,0,1,605,0.002,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,DPOY,2011-12,2.9,1.9,99.0,1
18T,Greg Monroe,21,DET,0,1,605,0.002,66,31.5,15.4,9.7,2.3,1.3,0.7,0.521,0.0,0.739,7.0,0.161,DPOY,2011-12,2.7,0.1,102.0,1
18T,Russell Westbrook,23,OKC,0,1,605,0.002,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,DPOY,2011-12,2.4,-0.7,105.0,1
2,Serge Ibaka,22,OKC,41,294,605,0.486,66,27.2,9.1,7.5,0.4,0.5,3.7,0.535,0.333,0.661,6.2,0.167,DPOY,2011-12,3.2,2.3,98.0,294
3,Dwight Howard,26,ORL,18,186,605,0.307,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179,DPOY,2011-12,4.4,2.0,96.0,186
4,LeBron James,27,MIA,7,112,605,0.185,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,DPOY,2011-12,4.5,2.7,97.0,112
5,Kevin Garnett,35,BOS,2,44,605,0.073,60,31.1,15.8,8.2,2.9,0.9,1.0,0.503,0.333,0.857,6.9,0.178,DPOY,2011-12,4.3,2.5,94.0,44
6,Tony Allen,30,MEM,4,36,605,0.06,58,26.3,9.8,4.0,1.4,1.8,0.6,0.469,0.308,0.8,4.2,0.131,DPOY,2011-12,2.5,2.3,100.0,36
7,Andre Iguodala,28,PHI,1,33,605,0.055,62,35.6,12.4,6.1,5.5,1.7,0.5,0.454,0.394,0.617,7.3,0.158,DPOY,2011-12,4.2,2.5,98.0,33
8,Shawn Marion,33,DAL,2,17,605,0.028,63,30.5,10.6,7.4,2.1,1.1,0.6,0.446,0.294,0.796,3.7,0.092,DPOY,2011-12,2.7,0.6,102.0,17
9,Luol Deng,26,CHI,1,16,605,0.026,54,39.4,15.3,6.5,2.9,1.0,0.7,0.412,0.367,0.77,5.8,0.132,DPOY,2011-12,3.6,1.1,100.0,16
1,Ryan Anderson,23,ORL,33,260,605,0.43,61,32.2,16.1,7.7,0.9,0.8,0.4,0.439,0.393,0.877,8.9,0.219,MIP,2011-12,,,,260
11T,Serge Ibaka,22,OKC,2,16,605,0.026,66,27.2,9.1,7.5,0.4,0.5,3.7,0.535,0.333,0.661,6.2,0.167,MIP,2011-12,,,,16
11T,Ty Lawson,24,DEN,1,16,605,0.026,61,34.8,16.4,3.7,6.6,1.3,0.1,0.488,0.365,0.824,6.9,0.157,MIP,2011-12,,,,16
13,Paul George,21,IND,2,13,605,0.021,66,29.7,12.1,5.6,2.4,1.6,0.6,0.44,0.385,0.802,6.0,0.148,MIP,2011-12,,,,13
14,Steve Novak,28,NYK,1,12,605,0.02,54,18.9,8.8,1.9,0.2,0.3,0.2,0.478,0.472,0.846,3.9,0.181,MIP,2011-12,,,,12
15,DeMarcus Cousins,21,SAC,0,11,605,0.018,64,30.5,18.1,11.0,1.6,1.5,1.2,0.448,0.143,0.702,4.2,0.104,MIP,2011-12,,,,11
16,Kevin Love,23,MIN,1,8,605,0.013,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,MIP,2011-12,,,,8
17T,James Harden,22,OKC,0,7,605,0.012,62,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,MIP,2011-12,,,,7
17T,Roy Hibbert,25,IND,0,7,605,0.012,65,29.8,12.8,8.8,1.7,0.5,2.0,0.497,0.0,0.711,6.2,0.154,MIP,2011-12,,,,7
19T,Gerald Henderson,24,CHA,1,6,605,0.01,55,33.3,15.1,4.1,2.3,0.9,0.4,0.459,0.234,0.76,1.0,0.026,MIP,2011-12,,,,6
19T,Marcin Gortat,27,PHO,1,6,605,0.01,66,32.0,15.4,10.0,0.9,0.7,1.5,0.555,0.0,0.649,7.6,0.172,MIP,2011-12,,,,6
2,Ersan İlyasova,24,MIL,21,159,605,0.263,60,27.6,13.0,8.8,1.2,0.7,0.7,0.492,0.455,0.781,6.4,0.185,MIP,2011-12,,,,159
21T,Kyle Lowry,25,HOU,1,5,605,0.008,47,32.1,14.3,4.5,6.6,1.6,0.3,0.409,0.374,0.864,4.9,0.156,MIP,2011-12,,,,5
21T,Marc Gasol,27,MEM,1,5,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,0.482,0.083,0.748,8.2,0.166,MIP,2011-12,,,,5
23,Gordon Hayward,21,UTA,0,4,605,0.007,66,30.5,11.8,3.5,3.1,0.8,0.6,0.456,0.346,0.832,4.9,0.116,MIP,2011-12,,,,4
24T,Arron Afflalo,26,DEN,0,3,605,0.005,62,33.6,15.2,3.2,2.4,0.6,0.2,0.471,0.398,0.798,5.3,0.121,MIP,2011-12,,,,3
24T,Brandan Wright,24,DAL,0,3,605,0.005,49,16.1,6.9,3.6,0.3,0.4,1.3,0.618,0.0,0.634,3.5,0.215,MIP,2011-12,,,,3
24T,C.J. Watson,27,CHI,0,3,605,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,0.368,0.393,0.808,2.6,0.109,MIP,2011-12,,,,3
24T,Tony Parker,29,SAS,0,3,605,0.005,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,MIP,2011-12,,,,3
28T,Jarrett Jack,28,NOH,0,1,605,0.002,45,34.0,15.6,3.9,6.3,0.7,0.2,0.456,0.348,0.872,3.8,0.119,MIP,2011-12,,,,1
28T,Marreese Speights,24,MEM,0,1,605,0.002,60,22.4,8.8,6.2,0.8,0.4,0.5,0.453,0.0,0.771,2.7,0.096,MIP,2011-12,,,,1
3,Nikola Peković,26,MIN,10,104,605,0.172,47,26.9,13.9,7.4,0.7,0.6,0.7,0.564,,0.743,4.5,0.17,MIP,2011-12,,,,104
4,Andrew Bynum,24,LAL,14,101,605,0.167,60,35.2,18.7,11.8,1.4,0.5,1.9,0.558,0.2,0.692,8.0,0.183,MIP,2011-12,,,,101
5,Greg Monroe,21,DET,10,96,605,0.159,66,31.5,15.4,9.7,2.3,1.3,0.7,0.521,0.0,0.739,7.0,0.161,MIP,2011-12,,,,96
6,Jeremy Lin,23,NYK,10,91,605,0.15,35,26.9,14.6,3.1,6.2,1.6,0.3,0.446,0.32,0.798,2.7,0.14,MIP,2011-12,,,,91
7,Goran Dragić,25,HOU,4,54,605,0.089,66,26.5,11.7,2.5,5.3,1.3,0.2,0.462,0.337,0.805,5.1,0.139,MIP,2011-12,,,,54
8,Avery Bradley,21,BOS,4,36,605,0.06,64,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,2.4,0.085,MIP,2011-12,,,,36
9T,Danny Green,24,SAS,3,27,605,0.045,66,23.1,9.1,3.5,1.3,0.9,0.7,0.442,0.436,0.79,4.5,0.142,MIP,2011-12,,,,27
9T,Jeff Teague,23,ATL,1,27,605,0.045,66,33.1,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,6.0,0.131,MIP,2011-12,,,,27
1,LeBron James,27,MIA,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,MVP,2011-12,,,,1074
10,Dwyane Wade,30,MIA,0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,MVP,2011-12,,,,6
11,Derrick Rose,23,CHI,0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211,MVP,2011-12,,,,5
12T,Dirk Nowitzki,33,DAL,0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,MVP,2011-12,,,,4
12T,Russell Westbrook,23,OKC,0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,MVP,2011-12,,,,4
14,Tim Duncan,35,SAS,0,3,1210,0.002,58,28.2,15.4,9.0,2.3,0.7,1.5,0.492,0.0,0.695,5.9,0.174,MVP,2011-12,,,,3
15,Joe Johnson,30,ATL,0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,MVP,2011-12,,,,1
2,Kevin Durant,23,OKC,24,889,1210,0.735,66,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,MVP,2011-12,,,,889
3,Chris Paul,26,LAC,6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,MVP,2011-12,,,,385
4,Kobe Bryant,33,LAL,2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,MVP,2011-12,,,,352
5,Tony Parker,29,SAS,4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,MVP,2011-12,,,,331
6,Kevin Love,23,MIN,0,58,1210,0.048,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,MVP,2011-12,,,,58
7,Dwight Howard,26,ORL,0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179,MVP,2011-12,,,,13
8,Rajon Rondo,25,BOS,0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,MVP,2011-12,,,,12
9,Steve Nash,37,PHO,0,7,1210,0.006,62,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,MVP,2011-12,,,,7
1,Kyrie Irving,19,CLE,117,592,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,ROTY,2011-12,,,,592
2,Ricky Rubio,21,MIN,0,170,600,0.283,41,34.2,10.6,4.2,8.2,2.2,0.2,0.357,0.34,0.803,2.0,0.07,ROTY,2011-12,,,,170
3,Kenneth Faried,22,DEN,1,129,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1.0,0.586,,0.665,4.6,0.212,ROTY,2011-12,,,,129
4,Kawhi Leonard,20,SAS,1,47,600,0.078,64,24.0,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171,ROTY,2011-12,,,,47
5,Iman Shumpert,21,NYK,1,33,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,ROTY,2011-12,,,,33
6,Klay Thompson,21,GSW,0,30,600,0.05,66,24.4,12.5,2.4,2.0,0.7,0.3,0.443,0.414,0.868,1.7,0.05,ROTY,2011-12,,,,30
7,Isaiah Thomas,22,SAC,0,28,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,0.448,0.379,0.832,4.3,0.124,ROTY,2011-12,,,,28
8,Brandon Knight,20,DET,0,21,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,0.415,0.38,0.759,1.3,0.029,ROTY,2011-12,,,,21
9,Chandler Parsons,23,HOU,0,14,600,0.023,63,28.6,9.5,4.8,2.1,1.2,0.5,0.452,0.337,0.551,3.4,0.09,ROTY,2011-12,,,,14
10,MarShon Brooks,23,NJN,0,4,600,0.007,56,29.4,12.6,3.6,2.3,0.9,0.3,0.428,0.313,0.764,0.8,0.022,ROTY,2011-12,,,,4
11,Kemba Walker,21,CHA,0,3,600,0.005,66,27.2,12.1,3.5,4.4,0.9,0.3,0.366,0.305,0.789,0.3,0.009,ROTY,2011-12,,,,3
12,Josh Selby,20,MEM,0,1,600,0.002,28,8.5,2.3,0.5,1.1,0.3,0.0,0.347,0.133,0.786,-0.5,-0.105,ROTY,2011-12,,,,1
1,J.R. Smith,27,NYK,72,484,605,0.8,80,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,6MOY,2012-13,,,,484
12T,Ramon Sessions,26,CHA,0,2,605,0.003,61,27.1,14.4,2.8,3.8,0.8,0.1,0.408,0.308,0.839,2.9,0.084,6MOY,2012-13,,,,2
12T,Shane Battier,34,MIA,0,2,605,0.003,72,24.8,6.6,2.3,1.0,0.6,0.8,0.42,0.43,0.842,4.4,0.119,6MOY,2012-13,,,,2
14T,Gordon Hayward,22,UTA,0,1,605,0.002,72,29.2,14.1,3.1,3.0,0.8,0.5,0.435,0.415,0.827,5.4,0.123,6MOY,2012-13,,,,1
14T,JJ Redick,28,TOT,0,1,605,0.002,78,30.5,14.1,2.2,3.8,0.5,0.1,0.434,0.366,0.9,4.5,0.091,6MOY,2012-13,,,,1
14T,Luke Babbitt,23,POR,0,1,605,0.002,62,11.8,3.9,2.2,0.5,0.2,0.1,0.368,0.348,0.769,0.7,0.047,6MOY,2012-13,,,,1
14T,Vince Carter,36,DAL,0,1,605,0.002,81,25.8,13.4,4.1,2.4,0.9,0.5,0.435,0.406,0.816,6.0,0.137,6MOY,2012-13,,,,1
2,Jamal Crawford,32,LAC,31,352,605,0.582,76,29.3,16.5,1.7,2.5,1.0,0.2,0.438,0.376,0.871,5.4,0.116,6MOY,2012-13,,,,352
3,Jarrett Jack,29,GSW,14,170,605,0.281,79,29.7,12.9,3.1,5.6,0.8,0.1,0.452,0.404,0.843,5.6,0.115,6MOY,2012-13,,,,170
4,Kevin Martin,29,OKC,2,31,605,0.051,77,27.7,14.0,2.3,1.4,0.9,0.1,0.45,0.426,0.89,7.0,0.157,6MOY,2012-13,,,,31
5,Ryan Anderson,24,NOH,1,11,605,0.018,81,30.9,16.2,6.4,1.2,0.5,0.4,0.423,0.382,0.844,6.5,0.125,6MOY,2012-13,,,,11
6,Andre Miller,36,DEN,0,7,605,0.012,82,26.2,9.6,2.9,5.9,0.9,0.1,0.479,0.266,0.84,5.4,0.12,6MOY,2012-13,,,,7
7,Jordan Crawford,24,TOT,1,5,605,0.008,70,24.4,11.6,3.0,3.2,0.6,0.1,0.415,0.337,0.811,1.9,0.052,6MOY,2012-13,,,,5
8T,Carl Landry,29,GSW,0,4,605,0.007,81,23.2,10.8,6.0,0.8,0.4,0.4,0.54,0.333,0.817,6.2,0.159,6MOY,2012-13,,,,4
8T,Corey Brewer,26,DEN,0,4,605,0.007,82,24.4,12.1,2.9,1.5,1.4,0.3,0.425,0.296,0.69,3.9,0.093,6MOY,2012-13,,,,4
8T,Manu Ginóbili,35,SAS,0,4,605,0.007,60,23.2,11.8,3.4,4.6,1.3,0.2,0.425,0.353,0.796,4.5,0.155,6MOY,2012-13,,,,4
8T,Nate Robinson,28,CHI,0,4,605,0.007,82,25.4,13.1,2.2,4.4,1.0,0.1,0.433,0.405,0.799,5.9,0.136,6MOY,2012-13,,,,4
1,Marc Gasol,28,MEM,30,212,605,0.35,80,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,DPOY,2012-13,5.4,3.1,98.0,212
10,Roy Hibbert,26,IND,3,36,605,0.06,79,28.7,11.9,8.3,1.4,0.5,2.6,0.448,0.25,0.741,6.1,0.129,DPOY,2012-13,4.9,1.4,97.0,36
11,Chris Paul,27,LAC,2,19,605,0.031,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,DPOY,2012-13,3.4,2.4,102.0,19
12,Avery Bradley,22,BOS,2,15,605,0.025,50,28.7,9.2,2.2,2.1,1.3,0.4,0.402,0.317,0.755,0.4,0.012,DPOY,2012-13,1.6,0.3,105.0,15
13,Tyson Chandler,30,NYK,0,11,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,0.638,,0.694,9.3,0.207,DPOY,2012-13,2.6,-0.3,104.0,11
14,Dwight Howard,27,LAL,1,9,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134,DPOY,2012-13,4.8,1.1,100.0,9
15,Luol Deng,27,CHI,1,6,605,0.01,75,38.7,16.5,6.3,3.0,1.1,0.4,0.426,0.322,0.816,6.3,0.105,DPOY,2012-13,3.3,-0.3,105.0,6
16,Dwyane Wade,31,MIA,0,4,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,DPOY,2012-13,3.5,0.7,103.0,4
17T,Jimmy Butler,23,CHI,0,3,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,0.467,0.381,0.803,7.0,0.158,DPOY,2012-13,2.6,1.0,104.0,3
17T,Kenneth Faried,23,DEN,0,3,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,0.552,,0.613,7.8,0.167,DPOY,2012-13,3.4,0.2,102.0,3
17T,Russell Westbrook,24,OKC,0,3,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,DPOY,2012-13,3.9,-0.2,103.0,3
17T,Trevor Ariza,27,WAS,0,3,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,0.417,0.364,0.821,3.1,0.102,DPOY,2012-13,2.4,2.0,101.0,3
2,LeBron James,28,MIA,18,149,605,0.246,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,DPOY,2012-13,4.7,2.4,101.0,149
21,Mike Conley,25,MEM,0,1,605,0.002,80,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,DPOY,2012-13,4.7,2.3,100.0,1
3,Serge Ibaka,23,OKC,14,122,605,0.202,80,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181,DPOY,2012-13,4.1,0.7,101.0,122
4,Joakim Noah,27,CHI,13,107,605,0.177,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,DPOY,2012-13,4.7,2.7,99.0,107
5,Tony Allen,31,MEM,9,102,605,0.169,79,26.7,8.9,4.6,1.2,1.5,0.6,0.445,0.125,0.717,5.1,0.115,DPOY,2012-13,4.1,2.4,98.0,102
6,Tim Duncan,36,SAS,11,94,605,0.155,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,DPOY,2012-13,4.9,2.9,95.0,94
7,Larry Sanders,24,MIL,4,90,605,0.149,71,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,6.0,0.149,DPOY,2012-13,3.7,2.0,99.0,90
8,Paul George,22,IND,8,57,605,0.094,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,DPOY,2012-13,6.3,2.3,97.0,57
9,Andre Iguodala,29,DEN,5,43,605,0.071,80,34.7,13.0,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097,DPOY,2012-13,3.2,1.4,105.0,43
1,Paul George,22,IND,52,311,600,0.518,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,MIP,2012-13,,,,311
10,Chandler Parsons,24,HOU,0,14,600,0.023,76,36.3,15.5,5.3,3.5,1.0,0.4,0.486,0.385,0.729,7.0,0.121,MIP,2012-13,,,,14
11,Kemba Walker,22,CHA,0,9,600,0.015,82,34.9,17.7,3.5,5.7,2.0,0.4,0.423,0.322,0.798,4.8,0.08,MIP,2012-13,,,,9
12T,J.R. Smith,27,NYK,1,8,600,0.013,80,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,MIP,2012-13,,,,8
12T,Klay Thompson,22,GSW,1,8,600,0.013,82,35.8,16.6,3.7,2.2,1.0,0.5,0.422,0.401,0.841,4.3,0.07,MIP,2012-13,,,,8
14,Jimmy Butler,23,CHI,0,7,600,0.012,82,26.0,8.6,4.0,1.4,1.0,0.4,0.467,0.381,0.803,7.0,0.158,MIP,2012-13,,,,7
15T,Andray Blatche,26,BRK,1,5,600,0.008,82,19.0,10.3,5.1,1.0,1.0,0.7,0.512,0.136,0.685,4.9,0.153,MIP,2012-13,,,,5
15T,Carmelo Anthony,28,NYK,1,5,600,0.008,67,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,MIP,2012-13,,,,5
15T,Kawhi Leonard,21,SAS,0,5,600,0.008,58,31.2,11.9,6.0,1.6,1.7,0.6,0.494,0.374,0.825,6.2,0.166,MIP,2012-13,,,,5
15T,Mike Conley,25,MEM,1,5,600,0.008,80,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,MIP,2012-13,,,,5
15T,Ryan Anderson,24,NOH,1,5,600,0.008,81,30.9,16.2,6.4,1.2,0.5,0.4,0.423,0.382,0.844,6.5,0.125,MIP,2012-13,,,,5
2,Greivis Vásquez,26,NOH,13,146,600,0.243,78,34.4,13.9,4.3,9.0,0.8,0.1,0.433,0.342,0.805,3.8,0.067,MIP,2012-13,,,,146
20,Kevin Durant,24,OKC,0,4,600,0.007,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,MIP,2012-13,,,,4
21T,Arron Afflalo,27,ORL,0,3,600,0.005,64,36.0,16.5,3.7,3.2,0.6,0.2,0.439,0.3,0.857,2.0,0.042,MIP,2012-13,,,,3
21T,Earl Clark,25,LAL,0,3,600,0.005,59,23.1,7.3,5.5,1.1,0.6,0.7,0.44,0.337,0.697,2.3,0.08,MIP,2012-13,,,,3
21T,Greg Monroe,22,DET,0,3,600,0.005,81,33.2,16.0,9.6,3.5,1.3,0.7,0.486,0.0,0.689,5.9,0.105,MIP,2012-13,,,,3
21T,Joakim Noah,27,CHI,0,3,600,0.005,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,MIP,2012-13,,,,3
21T,Kenneth Faried,23,DEN,0,3,600,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,0.552,,0.613,7.8,0.167,MIP,2012-13,,,,3
26,Tristan Thompson,21,CLE,0,2,600,0.003,82,31.3,11.7,9.4,1.3,0.7,0.9,0.488,0.0,0.608,5.2,0.098,MIP,2012-13,,,,2
